Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension,Approximate Entropy,Permutation Entropy,Sample Entropy,SVD Entropy
Fp1,cA5,0.6142182104090238,0.9577875068773438,0.0304820095738811,1.6782427766926646,-1.590472527780612e-15,1.4641226480828875,2.5020948144909534,1.6782427766926646,1.3471748611765366
Fp1,cD1,0.3666874137505295,0.3420304285656807,0.0013519980690692,1.9023642504971665,-1.120156813084954e-16,2.030254271127016,2.557798031357517,1.9023642504971665,1.476479702558007
Fp1,cD2,0.4030648177941396,0.4014185558298721,0.0008271593036072,1.8836432590243748,-1.365299441740983e-15,2.010624417446924,2.5561376038465933,1.883643259024375,1.4941164541902756
Fp1,cD3,0.4848849427229187,0.4978723418856398,0.0080566372904748,1.9343760094619515,-1.035472292125601e-15,2.031745370356582,2.577919846303229,1.934376009461952,1.5751313563315894
Fp1,cD4,0.4578149936016225,0.4971015864234833,0.0017542578957294,2.076863278461824,1.776142849697021e-16,1.9866776829621804,2.5792853278818453,2.076863278461824,1.5747563388496932
Fp1,cD5,0.4084401393545128,0.4431607930403856,0.0088790846871334,2.139784093097689,8.178273597740784e-16,1.8760953188193632,2.5756953079471185,2.139784093097689,1.564696155465832
Fp2,cA5,0.7175712453532521,1.0249468086943856,0.0359166295904866,1.5762710430413918,-4.898814570143355e-16,1.4272662278403958,2.4970577111878343,1.5762710430413918,1.3021822081981638
Fp2,cD1,0.3645526454727376,0.3250921495032589,0.0051362731240009,1.9169579526549707,-2.1064326822950907e-15,2.0450728951241484,2.558287445089676,1.916957952654971,1.4814795396496496
Fp2,cD2,0.3963954591982787,0.3863144547194975,0.0052823066711426,1.8705209081746552,1.980174678481852e-15,2.0098629504885945,2.556937927465345,1.8705209081746552,1.4945943722004298
Fp2,cD3,0.4928306996939557,0.4962587829507895,0.0087253397161313,1.861012848992096,3.830289594250601e-15,2.007120064828237,2.58212302295393,1.861012848992096,1.5760514205699874
Fp2,cD4,0.430446075456628,0.4911492241505017,0.0003553043712265,2.1075140899091145,-5.732099174084456e-17,2.018247838035415,2.580567723184409,2.1075140899091145,1.5761417708076877
Fp2,cD5,0.3985973100541062,0.424431207530872,-0.0007014592488604,2.1150723873958164,1.064884903121553e-15,1.864224354868509,2.576050514208509,2.1150723873958164,1.5636543852905
F3,cA5,0.6360685084831721,0.6690721840669139,0.0064118298617273,2.012841970098725,-3.811907664414997e-16,1.622943598497142,2.536670438244446,2.012841970098725,1.5026691296253512
F3,cD1,0.3745513143818463,0.3624862625109611,0.0046012965115634,1.951063121896068,-1.523792839457073e-16,2.0628990519234893,2.551013910201992,1.951063121896068,1.4805941000073406
F3,cD2,0.4684356794965951,0.4556348875327211,-0.000427240313906,2.108427951872974,-1.703818792244068e-15,2.1772725906478225,2.5712739379436056,2.1084279518729745,1.550945369803126
F3,cD3,0.4323672098962122,0.4273396659492572,0.0043736891313029,2.089032871271048,8.281906602779177e-16,2.103882855019438,2.5691197892065314,2.089032871271048,1.5484382762926328
F3,cD4,0.4079943748282115,0.4299896737946329,0.0017992539839305,2.088429705054869,5.509472350475316e-17,1.9935647994891184,2.572472434974615,2.088429705054869,1.554759754411585
F3,cD5,0.4087559105292667,0.416318205940036,0.0082726278505131,2.056059542315192,7.157793927834245e-16,1.8211438493417464,2.579733248997584,2.056059542315192,1.565170166610227
F4,cA5,0.4490815420916677,0.604378210832089,0.0112668250824194,2.1164042468620217,-2.2475451681486413e-16,1.6519345418997693,2.538183260475372,2.1164042468620217,1.514558033656672
F4,cD1,0.386521433723606,0.3514272261469509,0.0008454582907931,1.9441659275287528,6.412771127124664e-17,2.0626561804626187,2.5526984931653063,1.9441659275287528,1.4826451788654054
F4,cD2,0.4686297866556467,0.448726568450576,0.0012440016775415,2.096403731077161,-7.429351278351052e-16,2.1686044263522266,2.568572566835189,2.096403731077161,1.550936244963307
F4,cD3,0.4079408855307976,0.437505629782371,-0.0005973411328867,2.089989133597556,3.892761870022145e-15,2.101405858176808,2.57220968736284,2.089989133597556,1.5523439889443518
F4,cD4,0.4062209562871358,0.4471677225806745,0.0001283992420543,2.10911941947496,-4.8455742235783605e-17,2.003650407137473,2.5766712431549017,2.10911941947496,1.556431499343003
F4,cD5,0.4189298168359544,0.4424020473258526,0.0093915479166528,2.126322926063635,9.454634196191389e-16,1.850579934750609,2.5806467668743864,2.126322926063635,1.5733072242755952
C4,cA5,0.5904013313461544,0.7722486571575325,-0.0001689910888673,1.9845572562601428,-4.252203671653944e-16,1.633495632962239,2.54050938205616,1.9845572562601428,1.4869885103258134
C4,cD1,0.3901529107254572,0.3401402317146106,0.0011132442589963,1.942628498667366,2.589499023547997e-15,2.0549072198310823,2.5525898272676057,1.9426284986673656,1.4766054487408558
C4,cD2,0.4446343815476885,0.4441013911478406,0.0030459490689363,2.095410481268969,9.32039151019327e-16,2.16203749448983,2.5725583852206326,2.095410481268969,1.5498430169058013
C4,cD3,0.4684580760753173,0.4660166737595712,0.0004854780254936,2.1202027933988226,9.910063051851622e-16,2.1305275220815965,2.5761695692727056,2.1202027933988226,1.559562308728785
C4,cD4,0.4440118235183605,0.4418233274209108,0.0028384642167521,2.0496997781484474,2.195424726355517e-15,1.9757331956744213,2.5700054099187346,2.0496997781484474,1.5432296969121495
C4,cD5,0.4319961505669186,0.4814205855290954,0.0008265639796403,2.074131494744032,7.539294266390591e-16,1.825938805987572,2.584119682340492,2.074131494744032,1.5803425558531354
PO3,cA5,0.5096331367355511,0.6663195762657103,0.02197512113131,1.8911456523088217,-3.315825545153345e-16,1.5557124193304466,2.5289865922988715,1.8911456523088217,1.4748513040678066
PO3,cD1,0.3860379557194275,0.3577505513987217,0.0044152606617322,1.9480677194772595,1.1851839361226482e-15,2.060916958230389,2.556659351449457,1.94806771947726,1.4810571333795035
PO3,cD2,0.4411556113421928,0.4266750014272124,0.000555443041252,2.0526604308726704,1.0292732330497837e-15,2.124974905293402,2.564474193644389,2.05266043087267,1.530481990139578
PO3,cD3,0.4376338856432027,0.4447521925109185,0.0011646386348836,2.0714653443009783,-1.2409544020092208e-15,2.099104701838092,2.5772944401531257,2.0714653443009787,1.5614240736976588
PO3,cD4,0.3848741966945957,0.3938370800723575,0.0045019236477937,2.0434242901175432,4.114653189128654e-18,1.9619382077903704,2.556941979961846,2.0434242901175432,1.5156898997789034
PO3,cD5,0.4324581326641791,0.4308977378186874,0.000751599398526,2.0595353322680965,7.756424039616754e-16,1.8261069714232203,2.584567213132353,2.0595353322680965,1.5778503227417089
P4,cA5,0.4504657155305769,0.6516861795600792,0.0047960541465065,1.8970785933007848,-3.1784605182903357e-16,1.5885307661867838,2.535232330646123,1.8970785933007848,1.4700643848623265
P4,cD1,0.3690559648554691,0.3647548470105389,0.0051963199268685,1.9420404933542887,3.576631488082954e-15,2.05649145889803,2.553866986317023,1.9420404933542887,1.4777486684415395
P4,cD2,0.4430452516505857,0.4252558904610819,0.0008030804720789,2.0420318501401105,3.948594956847221e-17,2.1314814787252585,2.56502013332032,2.0420318501401105,1.53158776900143
P4,cD3,0.461810507185728,0.4577554343098091,0.0051013686440206,2.081006508045277,7.685732695272056e-16,2.09701602301404,2.5756742714967023,2.081006508045277,1.557526482749087
P4,cD4,0.3922406159748348,0.423270299620213,0.005535160411488,2.063792474787735,2.907282470010185e-17,1.9812021889172728,2.5679549236050594,2.063792474787735,1.5346304624791365
P4,cD5,0.4308121899605038,0.4555929892006158,-0.0005369590990472,2.043218646731187,9.072042512668882e-16,1.794709999222495,2.5838276662292894,2.043218646731187,1.5770636935776492
