Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension,Approximate Entropy,Permutation Entropy,Sample Entropy,SVD Entropy
Fp1,cA5,0.6444662524854313,0.8303642118792036,-0.000951847885594,1.9171275512134167,-4.1634391461506414e-16,1.600226053446649,2.554194374541145,1.9171275512134167,1.4831765100424232
Fp1,cD1,0.3573680090713032,0.3050237190294596,0.0103640511771227,1.878049884832468,1.7017306887226496e-16,1.992506371279957,2.5448285159119406,1.878049884832468,1.4494054970791743
Fp1,cD2,0.4587150319107993,0.4614478720416031,0.003227641365745,2.104870361378097,1.5202042090805857e-15,2.174555733243105,2.5730556889645806,2.104870361378097,1.5569034215424176
Fp1,cD3,0.4495898383248559,0.4650877643043807,0.0040689381686124,2.132316138554018,8.852461690503943e-16,2.1286909538141634,2.575245917059928,2.1323161385540184,1.5706509990394986
Fp1,cD4,0.4324870610139776,0.4396874438092211,-8.485967462758609e-05,2.089507901830344,1.587672100159532e-17,1.9889453386347045,2.577679088657274,2.089507901830344,1.5661066327149444
Fp1,cD5,0.4457791769229044,0.4554536593812817,-0.0009538997303355,2.047068649030585,7.067800343444491e-16,1.8094628992770856,2.5673846959986784,2.047068649030585,1.556315588423666
Fp2,cA5,0.599115352318532,0.7194926887824852,0.0075826384804462,2.0031876459558373,-3.168630668001691e-16,1.5818600984578008,2.562840808032848,2.0031876459558373,1.5233546829213875
Fp2,cD1,0.3474993042598148,0.3004090586122429,0.0061761335893105,1.8736929766245176,4.893443119244456e-16,1.992890920469352,2.544047660972211,1.873692976624518,1.4495857015119982
Fp2,cD2,0.4797457740412256,0.4665801703064223,0.0007173422611119,2.1078139392597337,-6.402005220745999e-16,2.1796153287875155,2.571248767938263,2.1078139392597337,1.5565549131815652
Fp2,cD3,0.4490760616712165,0.4684649469871982,0.0009213071880918,2.1295200848307663,-9.55929331061187e-16,2.12215316413394,2.577617396821826,2.1295200848307667,1.5703740317608816
Fp2,cD4,0.4709236994469654,0.4302981947960039,0.0029858762567692,2.112970322758512,-8.514719612895913e-17,2.011292921932986,2.577981264008513,2.112970322758512,1.5644620443689603
Fp2,cD5,0.4495844874559008,0.455707672454141,-0.0011717189442029,2.009211940880153,8.638052866173491e-16,1.8101300224506744,2.5770193168274207,2.009211940880153,1.5620743162366717
F3,cA5,0.6498167873971324,0.8219764685646961,0.0038228641856798,1.947572872467097,-3.047443195269676e-16,1.5979282163972073,2.5779568950053355,1.947572872467097,1.4836845643158303
F3,cD1,0.3381505240701173,0.2737031575947939,0.0106522740923034,1.779397891298743,1.3569233771779364e-16,1.9143589368730345,2.5337262266187017,1.7793978912987425,1.4179062309924928
F3,cD2,0.4730254293106464,0.4587521247836533,-0.0002226222645157,2.1276323051573507,9.507785258595368e-16,2.1949338133651484,2.578960928742692,2.1276323051573507,1.5710005973786672
F3,cD3,0.4827955952770666,0.5253508717503028,0.0010729125051784,2.190624598803346,-1.6991638198484356e-15,2.170746618246236,2.582450631078455,2.190624598803346,1.5835060402445884
F3,cD4,0.4623872327266145,0.4818125483322265,-0.0016326037320225,2.158488238413494,2.292034063879912e-17,2.0446089368055187,2.58059036027795,2.158488238413494,1.574246591061918
F3,cD5,0.4458828993855127,0.48290942610246,-0.0047416455817949,2.0410181069008373,8.609138697302504e-16,1.8061778601451184,2.572960418294953,2.0410181069008373,1.5630067257278153
F4,cA5,0.6001040057328941,0.7474487333280169,0.0116813733027534,2.0509730013681824,-4.896476656227381e-16,1.625974328554629,2.5463572622768087,2.0509730013681824,1.5045747573530897
F4,cD1,0.3471211536784237,0.3213726095618087,0.0048596382141114,1.8741198633127087,1.2639803300392125e-15,1.9880724839765376,2.54409496319096,1.8741198633127087,1.4468036012204963
F4,cD2,0.45152723558531,0.4601409164568335,-7.048520174926711e-05,2.125653076645411,-1.5369863750820319e-15,2.1858543924156484,2.5736592357999464,2.125653076645411,1.5573304692632646
F4,cD3,0.4743867818002618,0.4796296470728606,-0.0001382249774356,2.1601744005027887,7.38635659316428e-16,2.150875715928258,2.579051386092296,2.1601744005027887,1.5767253923046365
F4,cD4,0.4165215368258099,0.4395305903077858,-0.0004647226044627,2.123447324748424,1.681387487941298e-16,2.028392162558446,2.5766793669394845,2.123447324748424,1.5649589791721836
F4,cD5,0.458631371431011,0.4475467384423113,0.0021699905395506,2.103474741123992,7.258272288762185e-16,1.836992066908001,2.5741600582536,2.103474741123992,1.5613395911633994
