Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension
Fp1,cA5,0.5365308721241744,0.7435266431258947,0.0100408167272184,1.6856445212447435,-3.521861251705025e-16
Fp1,cD1,0.302029956504532,0.2667030998290864,0.0021638003262604,1.7671055426044286,-1.4402966461324626e-16
Fp1,cD2,0.4499732392410226,0.4112911760125383,0.0033158909190787,2.074566650311536,3.385344364146081e-16
Fp1,cD3,0.4729551179687059,0.4812395660510716,0.0036080013621933,2.135375922073372,7.451739541379639e-16
Fp1,cD4,0.3850649581431781,0.3726907803412451,0.0104072210672021,2.0385480977053003,-1.3549679335199504e-16
Fp1,cD5,0.2927247588170519,0.2303873077340776,0.0469777864568373,1.2967334052867543,0.0502049160908052
Fp2,cA5,0.4916937282567379,0.7200026991023684,0.0215893525343675,1.7660231886625577,-3.2876863675052353e-16
Fp2,cD1,0.3073260356272529,0.2608185017085209,0.0107811633671553,1.7885722048391626,1.673702404396926e-15
Fp2,cD2,0.4421308186639171,0.4115936560419136,0.0007622978904029,2.05665145573715,3.9936029518813415e-16
Fp2,cD3,0.4842647841570054,0.4785983670034153,0.0009114005348895,2.116051067793023,2.828106824964873e-15
Fp2,cD4,0.3920522140404781,0.3901441366817985,0.0057395241477273,2.104167543481371,3.9623450149932665e-17
Fp2,cD5,0.2910720650450387,0.2409587970286126,0.0530923332486835,1.2865585002799873,0.6864254223936678
F3,cA5,0.4918082343132222,0.6847141204615025,0.0305697000943701,1.7300240333176002,-2.631347335708985e-16
F3,cD1,0.3237810286475039,0.2744228801312891,0.0105821069303929,1.7963175561276936,5.265990509658395e-16
F3,cD2,0.4513772961524879,0.4187747864900744,0.0002372741699215,2.078202571431661,3.064416153384442e-17
F3,cD3,0.4389863989308095,0.4666083560086839,0.0028586821122604,2.131899824489691,9.0773103282067e-16
F3,cD4,0.3944844118949095,0.3438016995193051,0.0054270744323728,1.9615820177528915,1.619108789491767e-16
F3,cD5,0.2865163932531939,0.2369892935467348,0.036036059620616,1.3149425194548512,1.562406382782227e-15
C3,cA5,0.5235684073868748,0.8082128137419785,0.0247707070464297,1.908934105755856,-3.270605997846607e-16
C3,cD1,0.3028355376199826,0.2429779467273678,0.0110183329015349,1.6813129344060604,-4.4045229836381976e-15
C3,cD2,0.4443514804838975,0.4439193602551093,0.0007032856796723,1.998127068027611,-5.045016097059529e-17
C3,cD3,0.4262363619938359,0.4298989192111624,0.003080350702459,2.083658745809219,8.84544677961486e-16
C3,cD4,0.393032868245724,0.4352210496597029,0.00038021550034,2.0948380007270697,1.0315596101273848e-16
C3,cD5,0.3731765636136713,0.3666655318423958,0.0051151795820757,1.9523898591773612,2.372336092248722e-15
C4,cA5,0.6784058125654943,0.9005504389727905,0.0313257792416741,1.6830556759466755,1.9705890956533702e-15
C4,cD1,0.3127299490030496,0.2891609060891921,0.0112658578340455,1.6492117533360942,-4.408962119643716e-15
C4,cD2,0.4387143850344662,0.441373744388861,0.0002381006876628,1.956354974320291,6.818264985439942e-16
C4,cD3,0.465671105174786,0.4449643270418422,5.051583954838376e-06,2.0827552029498926,9.677665402173621e-16
C4,cD4,0.4016093958916056,0.3802172415957269,0.0040496132590551,1.9902133992086637,-9.241707367343512e-16
C4,cD5,0.4083533318952875,0.3873775134686352,0.0059299382296474,1.886371324981655,1.638765460781219e-15
PO3,cA5,0.6660165701371992,0.7934957024500805,0.0673435451267481,1.65915039252017,4.758937299473423e-16
PO3,cD1,0.2767564844504988,0.2421621401207641,0.0050510146401142,1.5633965142680455,-1.4561929046143424e-15
PO3,cD2,0.4471586151181964,0.4314757887978764,0.0001145391753224,1.981291286399994,8.117335734041301e-16
PO3,cD3,0.4869419459524902,0.4732829296746477,0.0031758655201305,2.1206239852065485,9.150129494510764e-16
PO3,cD4,0.3497813858441472,0.3320625965166522,0.0224649096667089,1.9225845901217595,1.3641410559238334e-15
PO3,cD5,0.2818639023596406,0.2201618122681069,0.0367136308125085,1.394211570391242,-1.2005027695833262e-15
P4,cA5,0.4724851665488009,0.7182445421118039,0.0431294137304956,1.8602537023708936,-3.422891375597351e-16
P4,cD1,0.2715599921500846,0.2676999564616444,0.006057583202015,1.4591705672309112,0.0001877453864124
P4,cD2,0.4340694536189747,0.4326350023991752,0.000332710959694,1.8585394566228897,3.974630018650064e-16
P4,cD3,0.4710105564023965,0.475092911387759,0.0029502608559348,2.052020083313725,-9.003862064396442e-16
P4,cD4,0.3871967790222453,0.3628378771751069,0.0105943979916875,1.9376361418437869,2.0341885482584518e-15
P4,cD5,0.3311026818149592,0.2707082338132587,0.0155835084981856,1.626819369741651,3.2686393370595107e-16
