Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension
Fp1,cA5,0.4784960796153136,0.7192780247443216,0.0229040203130269,1.9339963819294643,-5.090884895453037e-16
Fp1,cD1,0.365230928508118,0.3207714100162742,0.0021041465528078,1.7632760637837055,-1.5683445866595408e-15
Fp1,cD2,0.4424067237907403,0.4346711206440588,0.0005114988847207,1.897639379327209,2.008708619389822e-15
Fp1,cD3,0.4016483795443095,0.4139292435924366,0.0044439402493563,1.9599229239772549,1.3837686730548696e-15
Fp1,cD4,0.3780019954710218,0.3510013471069516,0.0040650107643822,1.994262411850009,-5.507389631088604e-17
Fp1,cD5,0.4781991255076342,0.5067925025421524,0.0039150151339444,2.017367772234062,8.658394572025292e-16
Fp2,cA5,0.660076412586912,0.6684234368226836,0.0111766528416351,1.8984488887359352,1.8895482538431718e-15
Fp2,cD1,0.3604583088047204,0.3315005081238069,0.0054560661315918,1.7985352661648808,-7.919058010356032e-17
Fp2,cD2,0.4374348995222666,0.4218807579477395,0.0036456281488589,1.887604139791231,2.6651357205438416e-15
Fp2,cD3,0.4354534460534616,0.4344929559838702,0.00095363963734,1.927384208005642,-8.131823000973512e-16
Fp2,cD4,0.362032913957896,0.3429430607657638,0.0013601881085018,1.9705744334350344,1.7774284395457e-16
Fp2,cD5,0.4767857298603758,0.4964001036241847,0.0041025942022151,2.024371226644844,7.425037262595827e-16
F3,cA5,0.5169650380575421,0.538150602727629,0.0082448379143138,2.096222052575406,1.8969308882769425e-15
F3,cD1,0.3483010159296061,0.350338306840772,-0.0003430626609108,1.7197050513210903,0.0001093853351525
F3,cD2,0.4488742729478153,0.456947294246154,0.0038643490184437,1.9899740278320663,-4.5470966920228225e-18
F3,cD3,0.4323962933328187,0.3937391743297452,0.0088768072061608,1.9365554610710105,-1.8798446794661436e-15
F3,cD4,0.3515938464527939,0.3234521096558148,0.0152322026609464,2.017084539384192,-6.049829366097407e-17
F3,cD5,0.4903039313407482,0.5270297676467118,0.0082497151061653,2.05152795708584,9.587142491564424e-16
F4,cA5,0.3988580267121874,0.5296433335758466,0.0070047511921066,2.091943708048552,-4.76016892769612e-16
F4,cD1,0.3585629495381467,0.3459821509620866,0.0039272828535595,1.8175107347480712,4.507380513386379e-15
F4,cD2,0.4338497010358908,0.4189736726050266,0.0033547054637563,1.8949701089414823,-2.3425870918304383e-16
F4,cD3,0.3812224219210109,0.3661240582293564,0.001634522640344,1.9194675214006676,-1.0806430472098711e-15
F4,cD4,0.3611494054571745,0.3162551872441106,-0.0002035314386539,1.969505859745563,-1.1039228702222311e-16
F4,cD5,0.4779702026333031,0.5332889901845882,0.0060162630948152,1.991251532460304,-5.942616275555568e-16
C3,cA5,0.46206508374832,0.5125542676664443,0.0204291701540495,2.093699722306892,-5.160865371506602e-16
C3,cD1,0.3671918618455422,0.339197745584946,0.0007674303921782,1.8790560173341575,4.712087024499939e-15
C3,cD2,0.4536647102479388,0.4300769659633796,0.0001012686527132,2.0282524955894528,3.440265812523343e-16
C3,cD3,0.4105670181899794,0.3762396340169314,0.001316914413914,1.94613050330807,3.0204932812583957e-15
C3,cD4,0.33373414512571,0.3163451437093073,0.0029186075383965,1.968477400341307,-1.0108939421945192e-17
C3,cD5,0.5151540458488931,0.5160178041678682,0.009445886625314,2.055786370112413,1.0613165986784261e-15
C4,cA5,0.3649633316991453,0.4528616463040912,0.0136558878552785,1.9936024977670297,2.3691455712091485e-15
C4,cD1,0.3633509595795594,0.3426302493039405,0.0044659787958316,1.8865980357473315,1.6511521915849018e-15
C4,cD2,0.429614421432222,0.424821372569986,-0.0008480707804363,2.0216051977607616,-5.765634523184626e-18
C4,cD3,0.3804542844772214,0.3490820801800982,0.0046273838390003,1.911543867336975,2.9256959183227426e-15
C4,cD4,0.3241075963854424,0.2953384107388128,0.0102138952775433,1.9635384561394595,-9.921042799926773e-16
C4,cD5,0.5033775670725713,0.5205737480541734,0.0100051239653904,1.9961674888481131,8.627388639635922e-16
PO3,cA5,0.3897007569694517,0.4998770828737104,0.001040608955152,2.060707505673109,-2.4019945218717567e-16
PO3,cD1,0.3586700764553419,0.3284478970606939,0.0044809254732995,1.8006939978581056,1.264789148973654e-15
PO3,cD2,0.4375808775109461,0.4450583072180058,5.0851070519257065e-05,1.9125976755484808,9.960900279191368e-16
PO3,cD3,0.3904348067082618,0.358697048351326,0.0040142406116829,1.9322920308164064,2.8268277848111304e-15
PO3,cD4,0.3245045898826368,0.2937977390313687,0.0057666605169122,1.9128185660646613,5.077484527062322e-17
PO3,cD5,0.4113525112739002,0.4106986049250276,0.0582451181097339,1.8722907683023309,4.4393278118832093e-16
P4,cA5,0.4470474620410917,0.5834124578206106,0.0141198024104957,2.1146924911506355,-4.489766324132998e-16
P4,cD1,0.3750211986138207,0.3382182552186938,0.0104320429887912,1.8907430012490376,1.4910633115013739e-15
P4,cD2,0.4325234847225936,0.4150709126130674,0.0003283298376829,2.004247878611439,-6.308833853004274e-16
P4,cD3,0.3815524831543523,0.3567989140944403,0.0088411778003188,1.969442158693382,-1.1363371286429241e-15
P4,cD4,0.3342123747925448,0.2890994044891441,0.0094647907710581,1.908225179797016,1.8213713927842104e-15
P4,cD5,0.4744347635200801,0.5067157624888768,0.0071785233237525,1.9419407845121173,4.858112836629772e-16
