Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension
Fp1,cA5,0.4775051947389556,0.5853009064919656,0.0223176929593502,1.744296857614238,-3.443824737585855e-16
Fp1,cD1,0.3215574662481656,0.2898559485936923,0.0019788799863868,1.69438615936901,1.4967067535608312e-15
Fp1,cD2,0.4246998039964867,0.4514343531224611,0.0003413402672966,2.0131867991427703,2.773614740096559e-16
Fp1,cD3,0.4384414621612509,0.4444762878609896,0.0029759927229448,2.0450154595908776,1.0482207782994105e-15
Fp1,cD4,0.4783636473157936,0.4985182785112474,0.0001322890772961,2.1206974797257256,-4.042512498007305e-17
Fp1,cD5,0.4128558086249977,0.4408579401040418,0.003346503864635,2.036274608430983,9.68206354002857e-16
Fp2,cA5,0.4780015309493688,0.7222498010513333,0.0166787996396918,1.7517283011626177,-4.150210370227696e-16
Fp2,cD1,0.3232816116366884,0.3011361311660758,0.0008347135601619,1.8292558060705637,-2.1824372857379287e-16
Fp2,cD2,0.4026675301906582,0.4074250184399138,0.003809122605757,2.053270666218328,-8.5910857210094e-16
Fp2,cD3,0.4216086821141621,0.4001375226143691,0.0127378521543551,1.8705113914946936,-1.402061362705494e-15
Fp2,cD4,0.4724070493263912,0.5422091593719932,0.0013668464891831,2.094926699444298,-2.889390467312391e-16
Fp2,cD5,0.4815250027813079,0.4536449768981305,0.0052912365306508,2.0402180437830504,7.684759424428319e-16
F3,cA5,0.3314379900291634,0.5748051569074406,0.0098517324541002,2.139587809026494,4.691198483384615e-16
F3,cD1,0.3410586622688524,0.3213130110795835,5.329594467609911e-05,1.7435723965262695,1.4129636828348617e-15
F3,cD2,0.4501103943784872,0.4680957715565448,-0.00057663195061,2.0815304256458367,1.990992032824883e-15
F3,cD3,0.391301154309343,0.4135070859951097,0.009803765606339,1.9607661530123208,7.067774260420089e-16
F3,cD4,0.4444422671601685,0.4716593368436388,0.0051745328036223,2.085153558674471,-1.943549977739564e-16
F3,cD5,0.461114873665737,0.4481507070240476,0.0103909285752093,1.9608918322627824,8.023016903446524e-16
F4,cA5,0.5725918324603885,0.6414299754657171,0.0100597201527417,2.120051312090636,-4.945790669385397e-16
F4,cD1,0.3266662675976404,0.2786400116329188,0.0059139338406647,1.7036167884555178,1.4101452892984416e-15
F4,cD2,0.4271531130884211,0.4462168566906085,7.28838371495068e-06,2.0892028187205787,6.115338580187546e-16
F4,cD3,0.4191498492345679,0.4147206463473393,0.0049371199174362,1.990270265496089,3.0999113155080667e-15
F4,cD4,0.4608050450437055,0.4982046528649045,0.0046956149014558,2.048178615164695,2.121809454372199e-16
F4,cD5,0.5172630207172445,0.4496902885540387,0.0062426046891644,1.8860473856005544,5.694030701482123e-16
C3,cA5,0.5240541547545716,0.622359865908748,0.0185986090491671,2.083101502511323,-3.502526708130767e-16
C3,cD1,0.3745197356658796,0.3316023943448745,0.0011774294304123,1.8064658975036905,-1.3275804480494244e-15
C3,cD2,0.4430367414767587,0.44404772027802,0.0004545153993545,2.081241918510948,8.126981852256194e-16
C3,cD3,0.425048445176555,0.4116259139403296,0.0009079268484401,2.026804207389093,9.124661761882932e-16
C3,cD4,0.3928539935552471,0.4258753752600498,0.0032544049349695,2.12732434127942,2.0503046194885764e-16
C3,cD5,0.4554966620462677,0.4330245851291001,0.0013316472371419,2.1025506226645634,4.584289938197716e-16
C4,cA5,0.5032457903319417,0.6195259024011678,0.0033918294039641,2.047220662668673,-2.372517473897737e-16
C4,cD1,0.3456686780923348,0.3208388573215811,0.0060854738408867,1.785326631108473,4.7713999553383876e-15
C4,cD2,0.4374436867895219,0.4511200316987586,0.0006176052671487,2.1070321249795896,9.047937752197488e-16
C4,cD3,0.4012400573905302,0.428662592420301,0.0096003033091347,2.0736822225235207,9.19226818631792e-16
C4,cD4,0.4266798275974305,0.4251673840398984,0.0038095907731488,2.1169796786466275,1.6276386957972656e-16
C4,cD5,0.4582812414996737,0.4368798192655543,0.0105244863283388,2.0055605956694134,7.998474681686549e-16
PO3,cA5,0.4905992514481504,0.5667684766338882,0.0082225666179528,2.04195795521159,-4.1843394153527164e-16
PO3,cD1,0.3566024506910953,0.3218460719311126,0.0009552868929775,1.8836370886472704,2.402870224715141e-15
PO3,cD2,0.4593105729233165,0.4254368116690411,0.0045150670138271,2.054155572308578,8.76972831569039e-16
PO3,cD3,0.4128742647939742,0.3926951283851705,0.0015739961103954,2.006588582285935,8.58466586561705e-16
PO3,cD4,0.4284037284886697,0.471786318134161,2.5951501098808185e-06,2.128925260770524,-1.468613090495576e-16
PO3,cD5,0.4713849393124907,0.4411947829075358,0.0039363947781647,1.9994836106622504,1.6346604513133722e-16
P4,cA5,0.5835203147770086,0.609401973602092,0.0008426897453534,2.0453860372673405,-5.609079133719613e-16
P4,cD1,0.3587710383097685,0.3320726184273909,0.0013837525338834,1.8849825457979368,8.042296519335244e-05
P4,cD2,0.4421858306106694,0.4217176978312473,0.0008795767119433,2.0408717297886105,-1.7626200209518548e-15
P4,cD3,0.4155561042181542,0.3921934113170814,0.0026035540031662,2.006786919671672,2.368837203036577e-15
P4,cD4,0.443830265162356,0.4336697663096189,0.0086540694323698,2.103073317448057,-1.2257716707398972e-16
P4,cD5,0.4324413794391067,0.4504359711984337,0.0039204770868469,1.9699981973700025,9.128267642400517e-16
