Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension,Approximate Entropy,Permutation Entropy,Sample Entropy,SVD Entropy
Fp1,cA5,0.4775051947389556,0.5853009064919656,0.0223176929593502,1.744296857614238,-3.443824737585855e-16,1.490336255742139,2.5476423873839065,1.744296857614238,1.482729952710648
Fp1,cD1,0.3215574662481656,0.2898559485936923,0.0019788799863868,1.69438615936901,1.4967067535608312e-15,1.8896892572057489,2.54226786004866,1.69438615936901,1.4290966146726616
Fp1,cD2,0.4246998039964867,0.4514343531224611,0.0003413402672966,2.0131867991427703,2.773614740096559e-16,2.119148942903121,2.5701933674663824,2.0131867991427703,1.5492125355015578
Fp1,cD3,0.4384414621612509,0.4444762878609896,0.0029759927229448,2.0450154595908776,1.0482207782994105e-15,2.0671307608335905,2.573538595112114,2.0450154595908776,1.5499279793504614
Fp1,cD4,0.4783636473157936,0.4985182785112474,0.0001322890772961,2.1206974797257256,-4.042512498007305e-17,2.0135423055784463,2.5838369277304527,2.1206974797257256,1.5834900431066403
Fp1,cD5,0.4128558086249977,0.4408579401040418,0.003346503864635,2.036274608430983,9.68206354002857e-16,1.8348689224492087,2.5603255793296307,2.036274608430983,1.5398930167806673
Fp2,cA5,0.4780015309493688,0.7222498010513333,0.0166787996396918,1.7517283011626177,-4.150210370227696e-16,1.485721990096815,2.555940561539938,1.7517283011626177,1.4851047458694493
Fp2,cD1,0.3232816116366884,0.3011361311660758,0.0008347135601619,1.829255806070564,-2.1824372857379287e-16,1.9572995015938703,2.5440094430815257,1.829255806070564,1.4422914672942486
Fp2,cD2,0.4026675301906582,0.4074250184399138,0.003809122605757,2.053270666218328,-8.5910857210094005e-16,2.132064161180301,2.5727551538727376,2.053270666218328,1.541602140731186
Fp2,cD3,0.4216086821141621,0.4001375226143691,0.0127378521543551,1.8705113914946936,-1.402061362705494e-15,1.934236960564112,2.5480344212048607,1.8705113914946936,1.4645023587009782
Fp2,cD4,0.4724070493263912,0.5422091593719932,0.0013668464891831,2.094926699444298,-2.889390467312391e-16,1.9874682058952449,2.5834374893947136,2.094926699444298,1.5822197620078726
Fp2,cD5,0.4815250027813079,0.4536449768981305,0.0052912365306508,2.0402180437830504,7.684759424428319e-16,1.8207110449578885,2.5475018885247254,2.0402180437830504,1.5328063701413828
F3,cA5,0.3314379900291634,0.5748051569074406,0.0098517324541002,2.139587809026494,4.691198483384615e-16,1.6329618288805774,2.579308840234314,2.139587809026494,1.5720229777130372
F3,cD1,0.3410586622688524,0.3213130110795835,5.329594467609911e-05,1.7435723965262695,1.4129636828348617e-15,1.9540084489212823,2.5428875658734,1.7435723965262695,1.4566886907656833
F3,cD2,0.4501103943784872,0.4680957715565448,-0.00057663195061,2.0815304256458367,1.990992032824883e-15,2.169820884817436,2.5772273583028773,2.0815304256458367,1.5661804517179587
F3,cD3,0.391301154309343,0.4135070859951097,0.009803765606339,1.9607661530123208,7.067774260420089e-16,1.994822734292223,2.5670452769421948,1.9607661530123208,1.5128925755699512
F3,cD4,0.4444422671601685,0.4716593368436388,0.0051745328036223,2.085153558674471,-1.943549977739564e-16,1.9939815406366028,2.583413407679902,2.085153558674471,1.5827233388262574
F3,cD5,0.461114873665737,0.4481507070240476,0.0103909285752093,1.9608918322627824,8.023016903446525e-16,1.7754317547036962,2.5276922282790304,1.9608918322627824,1.500675542648921
F4,cA5,0.5725918324603885,0.6414299754657171,0.0100597201527417,2.120051312090636,-4.945790669385397e-16,1.627533563985085,2.583773123506453,2.120051312090636,1.5628557004018315
F4,cD1,0.3266662675976404,0.2786400116329188,0.0059139338406647,1.7036167884555178,1.4101452892984416e-15,1.864265312456283,2.532037226157155,1.7036167884555178,1.412231850289825
F4,cD2,0.4271531130884211,0.4462168566906085,7.28838371495068e-06,2.0892028187205787,6.115338580187546e-16,2.163880819946585,2.575305115729425,2.0892028187205787,1.5560166308148529
F4,cD3,0.4191498492345679,0.4147206463473393,0.0049371199174362,1.990270265496089,3.0999113155080667e-15,2.0168056715451703,2.565892736793896,1.990270265496089,1.505458685410211
F4,cD4,0.4608050450437055,0.4982046528649045,0.0046956149014558,2.048178615164695,2.121809454372199e-16,1.962010360342167,2.584581861422515,2.048178615164695,1.5836803201505874
F4,cD5,0.5172630207172445,0.4496902885540387,0.0062426046891644,1.8860473856005544,5.694030701482124e-16,1.7337984276471907,2.5169991564503773,1.8860473856005544,1.493995011295283
C3,cA5,0.5240541547545716,0.622359865908748,0.0185986090491671,2.083101502511323,-3.502526708130767e-16,1.6244470454824589,2.584274925507153,2.083101502511323,1.5696440845916884
C3,cD1,0.3745197356658796,0.3316023943448745,0.0011774294304123,1.8064658975036905,-1.3275804480494244e-15,1.958406800747768,2.543689783536761,1.8064658975036905,1.4485715667137482
C3,cD2,0.4430367414767587,0.44404772027802,0.0004545153993545,2.081241918510948,8.126981852256194e-16,2.163032596984292,2.574486387385234,2.081241918510948,1.559889545710199
C3,cD3,0.425048445176555,0.4116259139403296,0.0009079268484401,2.026804207389093,9.124661761882932e-16,2.0561289256944386,2.555306112693982,2.026804207389093,1.5183591100942535
C3,cD4,0.3928539935552471,0.4258753752600498,0.0032544049349695,2.12732434127942,2.0503046194885764e-16,2.015754019136578,2.5840878918628647,2.12732434127942,1.5813685972718037
C3,cD5,0.4554966620462677,0.4330245851291001,0.0013316472371419,2.1025506226645634,4.584289938197716e-16,1.8372422595974385,2.569050415389908,2.1025506226645634,1.552004285085066
C4,cA5,0.5032457903319417,0.6195259024011678,0.0033918294039641,2.047220662668673,-2.372517473897737e-16,1.5857083919549284,2.58348592814632,2.047220662668673,1.5611901839026177
C4,cD1,0.3456686780923348,0.3208388573215811,0.0060854738408867,1.785326631108473,4.771399955338388e-15,1.9412439012575184,2.542121355707688,1.785326631108473,1.441387391195932
C4,cD2,0.4374436867895219,0.4511200316987586,0.0006176052671487,2.1070321249795896,9.047937752197488e-16,2.174835154693284,2.572111479965284,2.1070321249795896,1.554535198018581
C4,cD3,0.4012400573905302,0.428662592420301,0.0096003033091347,2.0736822225235207,9.192268186317919e-16,2.0753957691595435,2.561192413121318,2.0736822225235207,1.5306253068591944
C4,cD4,0.4266798275974305,0.4251673840398984,0.0038095907731488,2.1169796786466275,1.6276386957972656e-16,2.013018702354988,2.582896014292703,2.1169796786466275,1.5779858712740769
C4,cD5,0.4582812414996737,0.4368798192655543,0.0105244863283388,2.0055605956694134,7.998474681686549e-16,1.7942958309690722,2.542626026783144,2.0055605956694134,1.535277007030115
PO3,cA5,0.4905992514481504,0.5667684766338882,0.0082225666179528,2.04195795521159,-4.1843394153527164e-16,1.5905511568125466,2.584563226265474,2.04195795521159,1.5763580422163288
PO3,cD1,0.3566024506910953,0.3218460719311126,0.0009552868929775,1.8836370886472704,2.402870224715141e-15,2.001805853005493,2.551675489864402,1.8836370886472704,1.4575815677386843
PO3,cD2,0.4593105729233165,0.4254368116690411,0.0045150670138271,2.054155572308578,8.76972831569039e-16,2.1280539587863494,2.569391416715213,2.0541555723085785,1.5320950032745917
PO3,cD3,0.4128742647939742,0.3926951283851705,0.0015739961103954,2.006588582285935,8.58466586561705e-16,2.0324777930295577,2.5634224706888324,2.006588582285935,1.5169227227209914
PO3,cD4,0.4284037284886697,0.471786318134161,2.5951501098808185e-06,2.128925260770524,-1.468613090495576e-16,2.0224577107954,2.5790203390511617,2.128925260770524,1.5748093223503463
PO3,cD5,0.4713849393124907,0.4411947829075358,0.0039363947781647,1.9994836106622504,1.634660451313372e-16,1.7978699391392483,2.556201360321037,1.9994836106622504,1.5370133849911114
P4,cA5,0.5835203147770086,0.609401973602092,0.0008426897453534,2.0453860372673405,-5.609079133719613e-16,1.5916647803168231,2.5833006116538537,2.0453860372673405,1.5620851599727508
P4,cD1,0.3587710383097685,0.3320726184273909,0.0013837525338834,1.8849825457979368,8.042296519335244e-05,2.0016670960356846,2.5470621229178283,1.8849825457979368,1.4562129022869803
P4,cD2,0.4421858306106694,0.4217176978312473,0.0008795767119433,2.0408717297886105,-1.7626200209518548e-15,2.114585396041411,2.564093302782418,2.0408717297886105,1.5235489705684266
P4,cD3,0.4155561042181542,0.3921934113170814,0.0026035540031662,2.006786919671672,2.368837203036577e-15,2.0420833345523555,2.566999707177689,2.006786919671672,1.5195736595260514
