Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension
Fp1,cA5,0.5022234198123523,0.5809398143715669,0.0043399984186347,1.7189471137530876,-1.841766138979343e-16
Fp1,cD1,0.3399088235415705,0.3092767768659799,0.0113534927368158,1.7552254227405215,3.8860007391073206e-15
Fp1,cD2,0.4614464255798129,0.4240875159067286,0.0036023573441938,1.922153613144651,-4.9708537021248355e-15
Fp1,cD3,0.4772512300213688,0.4909262514240425,0.0008069992065428,1.9242585190669492,6.294768851704476e-16
Fp1,cD4,0.4326399997954145,0.4081822902804981,0.003305573896928,2.0050845687477734,1.3770099249775285e-17
Fp1,cD5,0.3455834847511951,0.2913605365442622,0.0193939051785315,1.74320733287617,4.2393801957284893e-16
Fp2,cA5,0.4158096992992995,0.5787101075839667,-0.0027683662645747,1.6742604841345812,2.044994887881553e-15
Fp2,cD1,0.313119627719182,0.302352908146058,0.0063011082735927,1.708621812215476,-4.334654988158332e-15
Fp2,cD2,0.4263346837792314,0.4207277439604904,0.0035483186895197,1.9608797384382204,-4.1178959423737494e-16
Fp2,cD3,0.4662090632626903,0.4851113754339597,-0.001113643068256,2.0321003117715613,-1.3210685073090265e-15
Fp2,cD4,0.4845190102209852,0.4589119689004288,0.0084734329810514,1.9721248570820495,2.1497675275879322e-15
Fp2,cD5,0.3619654221565467,0.2925573629992698,0.0140000656768161,1.779962519317027,7.877955132140433e-16
F3,cA5,0.3867656534399736,0.5080241842036961,0.0123549712883249,2.0275675833835867,-3.166689033716081e-16
F3,cD1,0.3582881109471069,0.3243058997043473,0.0014124436811965,1.6930010425617443,3.571856021214495e-15
F3,cD2,0.4367397064990029,0.4611449248022466,0.0005775625055484,1.931736651941152,2.796109155135914e-16
F3,cD3,0.4932595031457042,0.4732903624375715,-0.0004483425255978,1.977888637611363,-1.2191834653946626e-15
F3,cD4,0.3888025975155869,0.3484511915955112,0.0105711630174333,1.984578526624426,2.0865495058157887e-16
F3,cD5,0.426120600283783,0.3507447189339046,0.0256990768097257,1.7822864628373416,-1.2599250361371409e-15
F4,cA5,0.3842942951359658,0.6047606425478516,0.0018329273570665,2.118680651445688,-4.534635268268457e-16
F4,cD1,0.3547658949031815,0.3227358195233197,0.0043947740034622,1.904842054827894,2.3527914786737204e-15
F4,cD2,0.4419711461102336,0.4437299858350458,0.0002763921564276,2.1081998712737087,2.0710060705066772e-17
F4,cD3,0.4716250487494768,0.4949701803922192,0.0012580293597595,2.147702300752986,9.980636546087015e-16
F4,cD4,0.4711255864543384,0.4701776610510691,0.0054305770180437,2.123548501139969,-7.810656170855399e-17
F4,cD5,0.3900328879798178,0.3613087766486237,0.0098958882418548,1.9228552210098704,7.378284742700589e-16
C3,cA5,0.3877259783477365,0.4610142271732247,0.0038575866005639,2.029573990108057,-3.38472039435011e-16
C3,cD1,0.3074801211002661,0.2730294674858816,0.0021081866640033,1.7601265774296408,3.731018880342863e-15
C3,cD2,0.4505839671233608,0.4162799149079607,0.0026301123879173,2.0851615414252835,-1.0780161378313251e-15
C3,cD3,0.474064920793916,0.4903543590936499,0.0004395860614196,2.1536301333426446,1.0679598176575688e-15
C3,cD4,0.4240866246026508,0.4134837708273336,0.0006520820386479,2.0391661740962235,1.641742872691296e-15
C3,cD5,0.4797603319071317,0.4176691367304838,0.0002057508988811,1.9175288565170885,1.1101458713798698e-15
C4,cA5,0.4094077162582903,0.6025979705051524,0.0185598415332836,2.091356576257707,-3.1337695644155604e-17
C4,cD1,0.3502608633454986,0.3077543964997211,0.0014441750266337,1.8569634037690308,4.549247486820168e-15
C4,cD2,0.430687885282188,0.4254819798950489,-0.0002241365837326,2.098918567126768,1.8514401064242587e-15
C4,cD3,0.4779185912010457,0.495945434703735,-0.0001213940707121,2.1475978002684704,-4.119282029636344e-17
C4,cD4,0.3838592359041317,0.3739361120668351,0.0017716956861088,2.0441221633185545,-2.8711339962079547e-16
C4,cD5,0.4248199027282465,0.4006358618764832,0.0060395327481355,1.940833500448442,1.1762544147834332e-15
PO3,cA5,0.3637797985217257,0.47982197983927,0.0095885850332838,2.07959490415234,-7.295586810630749e-16
PO3,cD1,0.3503077201022398,0.3271685440329839,0.0045518615029075,1.785293143669985,1.4288534588561577e-15
PO3,cD2,0.498569749104791,0.4875946960315985,0.0004774324821703,2.061425041298639,8.540720002091692e-17
PO3,cD3,0.4372008799485268,0.435531917443348,0.0017667943781068,2.0522872329924327,9.556275830617232e-16
PO3,cD4,0.3485671926512479,0.294655183369604,0.0176038008469803,1.8418955025783617,-9.274674821796092e-16
PO3,cD5,0.3193478148259831,0.2519527562141569,0.0541453661618535,1.691785387949875,-1.3393308768979022e-15
P4,cA5,0.3725463393556563,0.4652703401315003,0.0089707574644292,2.0375944317443357,-4.177061938191718e-16
P4,cD1,0.3663663560255612,0.3221999931242042,0.0112721616571597,1.8288889601057408,-1.485626859664088e-16
P4,cD2,0.4421510814949068,0.4332939057221613,0.002098022807728,2.0489264028696565,9.575516795461997e-16
P4,cD3,0.463727278694825,0.4537656171564875,0.0008818597504582,2.1004111740969966,8.049931747917103e-16
P4,cD4,0.3777802757622157,0.3416924258037554,0.0060433994640004,1.9300433248971065,-7.963109665320894e-16
P4,cD5,0.3455645426247542,0.303140404161712,0.0247617889236618,1.7531393181919577,1.3800272486481886e-15
