Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension,Approximate Entropy,Permutation Entropy,Sample Entropy.1,SVD Entropy,Subject
Fp1,cD2,0.4382926040911156,0.4402633263043033,0.0042701114307751,1.91900093317063,-1.330332785460019e-17,2.044759523430825,2.570307474690776,1.91900093317063,1.5436960965318076,03
Fp1,cD3,0.4956356558626192,0.4798866125038376,0.0004165938406279,1.977801279092538,-1.0055850737440429e-15,2.030589210934724,2.5764691303715965,1.977801279092538,1.579944660296245,03
Fp1,cD4,0.4066216271521297,0.4161507156496632,0.0231156548300941,1.86798157958072,2.118803271435005e-15,1.8555848599687383,2.578368694154559,1.86798157958072,1.5212936809841524,03
Fp1,cD5,0.2552850340216372,0.1936657476324639,0.0395602829316084,1.426348889045277,9.343395413969145e-16,1.3884811735871248,2.5759121442382167,1.426348889045277,1.4425797595012924,03
Fp2,cA5,0.6723835663775073,0.9574885813087785,0.0346221318145821,1.1815667911596417,4.76807584888203e-16,1.17589725630233,2.449328247719487,1.1815667911596417,1.3459497270945855,03
Fp2,cD1,0.3221068936898357,0.3136298295380186,0.0005729155106972,1.547817805243005,2.429492933471197e-15,1.806761059537175,2.543152926875959,1.5478178052430047,1.4432132277571836,03
Fp2,cD2,0.4617507768735404,0.455882168995534,0.0003859086470165,1.9013344084201933,-1.1108886144739764e-15,2.0460249301237408,2.573608460815065,1.9013344084201933,1.5592116745598448,03
Fp2,cD3,0.4750941315424485,0.4809657500776975,3.9852026737290446e-05,1.9578735926785071,-9.708461807308152e-16,2.01960026536647,2.580767912382091,1.9578735926785071,1.5808546919721558,03
Fp2,cD4,0.4196941892450394,0.4366080082906894,0.0166888603797331,1.9867358402214168,1.9287549267627148e-15,1.9379347059022816,2.581744294472629,1.9867358402214168,1.55293832658999,03
Fp2,cD5,0.2882697561964339,0.2218607251337426,0.0327057497841972,1.525776054471942,6.578121802591511e-16,1.465951259226996,2.57557388716836,1.525776054471942,1.458643979992428,03
F3,cA5,0.5196318848256898,0.7307875404725301,0.0095427486446356,1.7569787230053588,-6.047987471861439e-16,1.5061585834245506,2.527660948065599,1.7569787230053588,1.4578754513791532,03
F3,cD1,0.3598931122815361,0.3402116502188957,0.004652924971147,1.5902131634304764,8.516061345172647e-05,1.843592392095364,2.545243375200753,1.5902131634304764,1.4536719218367131,03
F3,cD2,0.486299840945434,0.4888191623156673,0.0001654711636626,1.9267215604824424,-9.270257441211985e-16,2.076052857086437,2.578411350341696,1.9267215604824424,1.5729129366080803,03
F3,cD3,0.4685112662434335,0.4723737351793021,-2.5835904207570625e-06,2.045923230505472,-1.8630372882737527e-15,2.072404844094132,2.569535267856109,2.045923230505472,1.5653229610315829,03
F3,cD4,0.4217743824333245,0.4024052066346201,0.0281691955035819,1.8880512478346247,5.0811970321310753e-17,1.8782762929202867,2.5758823574637324,1.8880512478346247,1.511664368453514,03
F3,cD5,0.2560256043569642,0.206987392965656,0.0787216649335976,1.3897375832936452,9.179918034765694e-17,1.3575389346798277,2.572061261966157,1.3897375832936452,1.4393544845679382,03
F4,cA5,0.3984988824467044,0.7128932507570073,0.0219731676709522,2.0151659708461724,-5.478679864269021e-16,1.638100033098378,2.5332259655183744,2.0151659708461724,1.4839745477502904,03
F4,cD1,0.3225266386690608,0.3226474071285624,0.0031032995744184,1.4544364306458577,0.0011982656441742,1.763326192199063,2.542682881501692,1.4544364306458577,1.440439471213658,03
F4,cD2,0.484221382754745,0.5036242897154647,0.0030427065762606,1.862297547487368,-2.380348890802502e-16,2.061550734615036,2.580230893803286,1.8622975474873684,1.579450277490788,03
F4,cD3,0.5088187674484538,0.516778321981865,-0.0002107446843928,2.047560591206842,2.7714594465748515e-15,2.070475739480261,2.5824108940395387,2.047560591206842,1.5832125456647923,03
F4,cD4,0.410505493216852,0.4495597070921205,0.014357393914527,2.0772938950417807,1.8589395753141143e-16,1.985079319622109,2.5806275991683107,2.0772938950417807,1.5633761095678032,03
F4,cD5,0.3200300801644312,0.275958184366935,0.0384124952204089,1.6690221785512316,1.100086475887957e-15,1.5397018378792824,2.5777944106570945,1.6690221785512316,1.4820956492577857,03
C3,cA5,0.4093356127971617,0.6589045882747874,0.0078803175812838,2.050594091448278,-6.019832917016157e-16,1.6593209237150797,2.53940704347954,2.050594091448278,1.5246971085652568,03
C3,cD1,0.3350646384371669,0.3313454541965285,0.0043039408597075,1.4429137191636936,0.0003209999177389,1.7218729178601144,2.5451040820122888,1.4429137191636936,1.4519389761909294,03
C3,cD2,0.4829391856611539,0.4853646362475138,0.0001326185284237,1.827406086464692,1.5832841985633608e-15,1.9994806317134013,2.5794416811831824,1.827406086464692,1.5750406948094904,03
C3,cD3,0.4578537846815127,0.4404279327732124,-0.0001474149299391,2.0059000261202264,3.757896555220937e-15,2.0490717988685327,2.5716932402713897,2.0059000261202264,1.5672078672026188,03
C3,cD4,0.4185871079394289,0.4198097024112948,0.015213184814287,2.038730356622822,-4.09530388507028e-17,1.961616671213073,2.576865913992278,2.038730356622822,1.558493582659675,03
C3,cD5,0.3821838668293512,0.3106302684830928,0.0248627610259004,1.7752648888962643,9.096988992258389e-16,1.6215212760390525,2.57002733796403,1.7752648888962643,1.5050834236416502,03
C4,cA5,0.4571992118718823,0.7271872490215076,0.0378732634525671,1.8698708043833725,-3.988936884748166e-16,1.5596120364972208,2.538203008832788,1.8698708043833725,1.475015547930774,03
C4,cD1,0.3122731074459041,0.3119201488890348,-0.0005129380659622,1.25444458132854,0.0184104592679263,1.643715964254412,2.5291239378197887,1.25444458132854,1.4227702906135264,03
C4,cD2,0.4658918829540334,0.5112445434359432,0.0002779295950222,1.7048856269318546,0.0001090529980273,1.9952066662781425,2.578023465347076,1.7048856269318546,1.5780959021931271,03
C4,cD3,0.524301108124214,0.5284124579728334,0.0002350373701613,1.932022240738596,3.973132702212103e-15,2.010210938589545,2.583517038476996,1.932022240738596,1.584764453568201,03
C4,cD4,0.4425479488683019,0.4599919359707435,0.0037179513411091,2.071244233851978,-5.932208575807941e-17,1.991352447962296,2.5828825484514466,2.071244233851978,1.575717561149623,03
C4,cD5,0.3083308092669876,0.2976783274250731,0.0297439081063543,1.8014660395448467,8.06439979410144e-16,1.6439338960117906,2.565710374181259,1.8014660395448467,1.5115740225460694,03
