Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension,Approximate Entropy,Permutation Entropy,Sample Entropy,SVD Entropy
Fp1,cA5,0.499840292715667,0.9228200416251992,0.0333452353378357,0.8033798080168896,0.0030440160484586,0.9090584352018998,2.4945691497610705,0.8033798080168896,1.295135684124567
Fp1,cD1,0.3206597263279429,0.3006078808350429,0.0023489171808413,1.7333821445945354,2.706518253176504e-15,1.885994919659086,2.542926700175568,1.7333821445945354,1.4240278261520976
Fp1,cD2,0.464642189108484,0.4594055026548027,0.000998005722508,2.0349233707985896,-7.209313834005277e-16,2.1295122979910888,2.572290687086217,2.0349233707985896,1.5520260931385588
Fp1,cD3,0.4908461625229414,0.5192008979525501,0.0003622690836585,2.091798681043288,-7.094817303904531e-16,2.097906293658232,2.582845610426628,2.091798681043288,1.5838491611408507
Fp1,cD4,0.4385661439647362,0.4704154385087523,0.0032808910716663,2.124497896988479,-4.433291097324285e-17,2.023960209341162,2.5794089261974493,2.124497896988479,1.5724455775198023
Fp1,cD5,0.4563533045401752,0.5136755191242549,0.0038284735246136,1.8517470976317567,7.294829552028373e-16,1.7324430557279469,2.58373924806902,1.8517470976317567,1.5583020993033574
Fp2,cA5,0.5752305700229418,0.8985796924034904,0.0482110025912902,1.0499479977444857,-1.6578249697913925e-15,1.102427541429011,2.504225343933796,1.0499479977444857,1.3084605614514755
Fp2,cD1,0.2975327717749407,0.2616499518301401,0.0057857773520727,1.7188479585637055,3.330874422085116e-15,1.870790592007185,2.53860495198172,1.7188479585637055,1.4152820369691823
Fp2,cD2,0.4504742480382971,0.4479704217417309,1.591191147268491e-05,2.063119392369695,-2.566401540352519e-16,2.1544482855416387,2.57375381862046,2.063119392369695,1.558018458842378
Fp2,cD3,0.4904232964268382,0.5153342949286189,-0.0003318497628879,2.119477465206966,7.514972641399389e-16,2.1219336849902586,2.5837976239416465,2.1194774652069666,1.5839672522680923
Fp2,cD4,0.462696526566148,0.4704377549908106,0.0013531887170037,2.1638530723736644,6.410067653174923e-17,2.050547199999176,2.581733535070503,2.1638530723736644,1.5772832213040515
Fp2,cD5,0.474977638679705,0.5565509082164708,0.0017040310483987,1.9907147048198195,1.0645334451827745e-15,1.7936384132070955,2.5837247074907927,1.9907147048198195,1.5763119071148894
F3,cA5,0.4153009714783249,0.6801550875449286,0.028924401251824,1.8577439198602967,-4.820849066314766e-16,1.5442749006129688,2.550528964816025,1.8577439198602967,1.4895716329028894
F3,cD1,0.3371991054253148,0.3085272970503202,0.0114331299241452,1.692359056897861,2.9958445772493e-15,1.860156738719259,2.536042325824772,1.692359056897861,1.437276234820351
F3,cD2,0.482158675392434,0.4815351409726873,0.0039281927661972,2.022176512921567,1.3669487365714214e-16,2.11815584479751,2.576206126949433,2.022176512921567,1.565449076654995
F3,cD3,0.517149421829049,0.5016010546992161,-0.0008625319509796,2.114958050559758,8.592806130978553e-16,2.1173111922427994,2.577754277219576,2.114958050559758,1.5767898446262811
F3,cD4,0.4308977795911484,0.4195573708053281,0.000742600180886,2.062759178624518,2.0135723532365167e-16,1.9700495013593,2.573642201022176,2.062759178624518,1.547606705969598
F3,cD5,0.4491524912092758,0.5100328006583655,0.0046771222894841,2.050295054879659,9.309275316043192e-16,1.8202552250873487,2.582026340585549,2.050295054879659,1.576702944165738
F4,cA5,0.4844402323937238,0.6835008451495201,0.0006094325672495,1.979263417528993,-5.346201525293962e-16,1.6105444363425798,2.553805956905066,1.979263417528993,1.5032996428662324
F4,cD1,0.3456925434769449,0.3040089915081678,0.0054913434115323,1.7846406082204411,3.173587202601745e-15,1.913011293798145,2.541515842276193,1.7846406082204411,1.4339247039304452
F4,cD2,0.4589538124572124,0.4668158476379522,0.0002933559995705,2.065767461354394,-4.826068269081225e-16,2.142602931686561,2.573834667782288,2.065767461354394,1.5611816691924458
F4,cD3,0.49370251588296,0.4713604960059407,0.0030339067632499,2.127382681410313,6.418075520361305e-16,2.129774662857659,2.579025208166304,2.1273826814103134,1.5743232235887186
F4,cD4,0.3867224325547782,0.4183007776572703,0.0005892146717418,2.119762822925265,-2.0643579982857421e-16,2.020191598662672,2.5713426368973584,2.119762822925265,1.5563950324188949
F4,cD5,0.4652729615875771,0.5244768352982662,0.0006933270078714,2.118701407312453,4.703357268449231e-16,1.8489740215295976,2.580347471232425,2.118701407312453,1.5773030597797333
