Electrode,Band,Hurst,DFA,Lyapunov,Sample Entropy,Correlation Dimension,Approximate Entropy,Permutation Entropy,Sample Entropy,SVD Entropy
Fp2,cA5,0.6568826224130271,0.7951682429671821,0.0167103652115711,1.5555041376091046,2.0538945678949687e-15,1.4443492524153072,2.555177447022553,1.5555041376091046,1.466294607397276
Fp2,cA5,0.4868985147396486,0.7951682429671821,0.0234704489236352,1.5555041376091046,-1.6341300758991965e-15,1.909291011346444,2.54991755291174,1.7663840857634665,1.4456405623059494
Fp2,cD1,0.3340658521154755,0.3075884324337551,0.0051798733797942,1.7663840857634665,1.660096703908412e-15,2.0086437202586307,2.5627325299326045,1.8953415777358624,1.5126054943874585
Fp2,cD1,0.3340658521154755,0.3075884324337551,0.0051798733797942,1.7663840857634665,1.660096703908412e-15,2.052439551278166,2.579192516270506,2.0232897240711414,1.5774246566676222
Fp2,cD2,0.3999100171844733,0.3915665005021991,1.398722330802043e-06,1.8953415777358624,6.957659857657538e-16,1.983902990286852,2.579411213028762,2.0744903680419604,1.5592336375496303
Fp2,cD2,0.3999100171844733,0.3915665005021991,0.003112810308283,1.8953415777358624,6.957659857657538e-16,1.7474466357385356,2.581573166498737,1.939241180471468,1.5507072249488507
Fp2,cD3,0.4921418931785483,0.512598578815475,0.002448073300448,2.0232897240711414,9.87270100010157e-16,1.610891064516787,2.545210615152953,1.980125888738848,1.491145639715267
Fp2,cD3,0.4946082184941298,0.512598578815475,7.869836055801207e-05,2.0232897240711414,9.87270100010157e-16,1.9911074712226675,2.5478675926031884,1.8791578348914888,1.45427491951872
Fp2,cD4,0.4376527755018572,0.4381385170049545,0.0002983786843038,2.0744903680419604,-1.0794756986703811e-16,2.155918909143706,2.568687284478166,2.0856080218142785,1.549344266576456
Fp2,cD4,0.4376527755018572,0.4381385170049545,0.0031446919296726,2.0744903680419604,-1.0794756986703811e-16,2.141064050080648,2.572494377346412,2.1371028471572378,1.5633464067610627
Fp2,cD5,0.3710779726648164,0.3645420832100094,0.000795979933305,1.939241180471468,1.1583285274946102e-15,2.0158354833801875,2.5785479508271147,2.1147680882161604,1.556053919568679
Fp2,cD5,0.3765050560421777,0.3645420832100094,0.000795979933305,1.939241180471468,1.1583285274946102e-15,1.7599957009057468,2.581460447736103,1.9664426075613253,1.5456767280322303
F3,cA5,0.3876727969684027,0.8401153985411323,0.018826369400863,1.980125888738848,-4.561586894282978e-16,1.5534078015873112,2.565066633432932,1.9394244647198005,1.5309510619478346
F3,cA5,0.4431471700631959,0.8914317026608091,0.018826369400863,1.980125888738848,-1.8418782634656985e-15,1.9577786077207568,2.55047710288154,1.8295734561223111,1.4533824581046295
F3,cD1,0.3482395118411334,0.3108250185497732,0.0047195521267976,1.8791578348914888,1.2455663809447046e-15,2.110859334427211,2.566468904959048,2.028968657252156,1.5337214165792483
F3,cD1,0.3482395118411334,0.3108250185497732,0.0047195521267976,1.8791578348914888,1.2455663809447046e-15,2.116569860406144,2.577402310123472,2.1176978082166302,1.5675392076063766
F3,cD2,0.4687638421238279,0.4565220426998605,0.0036760330200196,2.0856080218142785,-9.790962469236458e-16,1.9609941958919104,2.5813209615571244,2.0263999052004125,1.5459180006679332
F3,cD2,0.4655251655898642,0.4565220426998605,0.0009659391460993,2.0856080218142785,-9.790962469236458e-16,1.68165997719459,2.5789883201323502,1.8342431021559056,1.540523370087165
F3,cD3,0.4615982299560702,0.4718384794071009,-0.0005919254187381,2.1371028471572373,8.853052239563214e-16,1.5968306797028795,2.5649226684044706,2.000817353575314,1.5271366994679298
F3,cD3,0.4649097427861277,0.4718384794071009,-0.0005919254187381,2.1371028471572373,8.853052239563214e-16,1.637873466814478,2.5496666556626235,1.4576766728245771,1.441478241475468
F3,cD4,0.4256122290631013,0.4276152702074203,0.0040813619440253,2.1147680882161604,1.5868822949581784e-16,1.8968312882822715,2.5727936785085537,1.7632395838229735,1.5676258890937167
F3,cD4,0.4256122290631013,0.4276152702074203,0.0015753601536601,2.1147680882161604,1.5868822949581784e-16,2.012728500368912,2.5699008808052217,1.9827650419373104,1.562061932778568
F3,cD5,0.3865652120233568,0.3728521117939033,0.004086364399303,1.9664426075613253,8.976510477861586e-16,1.9438832025555044,2.579257671568729,2.030858835497704,1.561400165813598
F3,cD5,0.3865652120233568,0.3728521117939033,0.0014124032222865,1.9664426075613253,8.976510477861586e-16,1.7125629009191847,2.584191953933231,1.882629863543595,1.5495269800300109
F4,cA5,0.4053998981424664,0.5615346320884721,0.0243434036333947,1.9394244647198005,-5.217876656728522e-16,1.5873046807813296,2.562887883066648,1.979092090303091,1.5397504153680683
F4,cA5,0.3743750719744655,0.6938454988669444,0.020169245541751,1.9394244647198005,-5.217876656728522e-16,1.8578644554428143,2.5487379004210764,1.726750088556777,1.448466663530298
F4,cD1,0.3520132121421096,0.3113451695128763,0.0050448937849561,1.8295734561223111,4.482918885172722e-15,2.0677618237291737,2.5658909963249963,1.981365844681173,1.5464326507767132
F4,cD1,0.3520132121421096,0.3113451695128763,0.0050448937849561,1.8295734561223111,4.482918885172722e-15,2.107019596775264,2.5754549567545792,2.1001236658761804,1.5680599183777382
F4,cD2,0.4524600180854327,0.4165937450240248,-0.000399109811494,2.0289686572521566,-5.611681138284677e-17,1.9630361210484104,2.570511903219614,2.0461241797230976,1.5426692737897036
F4,cD2,0.4297065405469912,0.4165937450240248,0.0024241794239391,2.0289686572521566,-5.611681138284677e-17,1.758199590847953,2.5829945611844978,1.961643744459612,1.552801294961498
F4,cD3,0.4562775852553933,0.47791062590978,0.0013010718605731,2.1176978082166302,8.825887546755058e-16,1.624150134328361,2.562424276296805,2.0567069889086995,1.5425375336628937
F4,cD3,0.4516853431818178,0.47791062590978,0.003754338351163,2.1176978082166302,8.825887546755058e-16,1.9328847260318325,2.547402579642317,1.797388106055947,1.4337346811243803
F4,cD4,0.384526069802834,0.376594772380125,0.0054202860051934,2.0263999052004125,-1.4511047053863116e-16,2.100056339960247,2.5638630201784154,2.013449039600926,1.518789441069016
F4,cD4,0.384526069802834,0.376594772380125,0.0089795939572211,2.0263999052004125,-1.4511047053863116e-16,2.138481493168064,2.580480689477805,2.141880136113933,1.5780206228038465
F4,cD5,0.3856258266426719,0.3767882972717748,0.0064469077370385,1.8342431021559056,9.00567992555263e-16,1.931163943292776,2.575938415987404,1.9990487286519243,1.5404024591254708
F4,cD5,0.3856258266426719,0.3767882972717748,0.0098810629411179,1.8342431021559056,9.00567992555263e-16,1.6332126023916134,2.581536454106134,1.751693039843031,1.5326530356666377
C3,cA5,0.4640713059444955,0.6472247440143459,0.0268581872457985,2.000817353575314,-2.180355350643026e-16,1.6059410744312883,2.551556848215501,2.0107742793562324,1.5203179524246877
C3,cA5,0.4276878880352852,0.6472247440143459,0.0228769019409851,2.000817353575314,-2.180355350643026e-16,1.9140853659407604,2.5522087956656274,1.786497375238441,1.4608964986233894
C3,cD1,0.3611370339543814,0.3260288105973667,0.0105685667558148,1.4576766728245771,4.763036917225687e-05,2.0785707687690387,2.566406414934202,1.9999338842508776,1.5437590139629047
C3,cD1,0.3611370339543814,0.3260288105973667,0.0047555229880594,1.4576766728245771,8.681795895916985e-05,2.0944111648356856,2.572020571552553,2.088466034781624,1.5645900997708275
C3,cD2,0.4521678315899903,0.4773865083396804,0.0008008725715406,1.7632395838229735,-4.070109690481919e-16,1.890553444568841,2.5695633229989103,1.9264165758655885,1.513481895849912
C3,cD2,0.4500110780946438,0.4773865083396804,0.0008008725715406,1.7632395838229735,-4.070109690481919e-16,1.649501620830674,2.582546434707136,1.7244921345579185,1.5342937892750317
C3,cD3,0.4518059342172907,0.4540967661063781,0.0023853908885609,1.9827650419373104,-1.9788380685174018e-15,,,,
C3,cD3,0.4518059342172907,0.4540967661063781,-0.0001262144608932,1.9827650419373104,-1.9788380685174018e-15,,,,
C3,cD4,0.3619976170802433,0.3877421609142219,0.0021744583592269,2.030858835497704,3.502361705783765e-18,,,,
C3,cD4,0.3619976170802433,0.3877421609142219,0.0090737095387419,2.030858835497704,3.502361705783765e-18,,,,
C3,cD5,0.4036817097275645,0.377765700961082,0.0046921990134497,1.882629863543595,7.201893931552031e-16,,,,
C3,cD5,0.4036817097275645,0.377765700961082,0.0046921990134497,1.882629863543595,7.201893931552031e-16,,,,
C4,cA5,0.4449896526915657,0.6237064296924459,0.0007484725027374,1.979092090303091,-4.396707914064014e-16,,,,
C4,cA5,0.4564366825410718,0.6237064296924459,0.0007484725027374,1.979092090303091,-4.396707914064014e-16,,,,
C4,cD1,0.3696493474793667,0.3382640153756436,0.009882190010765,1.7267500885567768,2.6193244442712425e-15,,,,
C4,cD1,0.3696493474793667,0.3305015904883422,0.0056579416448418,1.7267500885567768,2.6193244442712425e-15,,,,
C4,cD2,0.4381495871827066,0.4342378779342153,0.0002040053858898,1.981365844681173,3.0755002123478204e-15,,,,
C4,cD2,0.4609400004136519,0.4342378779342153,0.0028407530351119,1.981365844681173,3.0755002123478204e-15,,,,
C4,cD3,0.4555186554446873,0.4619468387895316,-0.0006416263002339,2.1001236658761804,8.066980664148773e-16,,,,
C4,cD3,0.4507926077121242,0.4619468387895316,-0.0006416263002339,2.1001236658761804,8.066980664148773e-16,,,,
C4,cD4,0.412679371358326,0.3813726657721007,0.0013899427471735,2.0461241797230976,1.423671843169533e-16,,,,
C4,cD4,0.412679371358326,0.3813726657721007,0.0040283116427331,2.0461241797230976,1.423671843169533e-16,,,,
C4,cD5,0.3856591701647491,0.3828290985349373,0.015600424546462,1.961643744459612,9.533053472799582e-16,,,,
C4,cD5,0.4005362629098792,0.3828290985349373,0.0177598086270419,1.961643744459612,1.2819115401488852e-17,,,,
